codeCategory;category;codeSubcategory;subcategory;type;caliber;height;grossWeight;explosiveWeight
MN;MINES;MNAP;ANTI PERSONNEL;BOX TYPE|CUP SPRING|STRIKER-SPRING SET|ARMING DELAY SYSTEM|FRICTION SYSTEM|PIVOT SYSTEM|NEUMATIC SYSTEM|ELECTRIC SYSTEM;true;true;true;true
MN;MINES;MNAPF;ANTI PERSONNEL FRAGMENTATION;CONCENTRATED|WOOD STAKE|METAL STAKE|DOUBLE INITIATION SYSTEM|DIRECTIONAL (CLAYMORE STYLE)|DIRECTIONAL (MON STYLE)|BOUNCING MINES|PIROTHECHNICAL DELAY;true;true;true;true
MN;MINES;MNAT;ANTI TANK;CUP SPRING|SHEARING SYSTEM|STRIKER-SPRING SET|CHAIN OF FIRE MISALIGNED|DIRECTIONAL;true;true;true;true
MN;MINES;MNSC;SCATTERABLE;PRESSURE|TRACTION;true;true;true;true
MN;MINES;MNN;NAVAL;;true;true;true;true
FZ;FUZES;FZPR;PERCUSSION;QUICK (Q)|SUPERQUICK (SQ)|PYROTECHNIC POINT INITIATION BASE DETONATING (PIBD)|PIEZO-ELEMENT POINT INITIATION BASE DETONATING (PIBD)|DELAY SYSTEM (PD/D);true;true;true;true
FZ;FUZES;FZJF;JERK FUNCTIONING;MECHANICAL|ELECTRIC;true;true;true;true
FZ;FUZES;FZT;TIMING;MECHANICAL (MT)|ELECTRONIC (ET)|PYROTECHNICAL (PTT);true;true;true;true
FZ;FUZES;FZSD;SELF-DESTRUCTION (SD);MECHANICAL SD|ELECTRONIC SD;true;true;true;true
FZ;FUZES;FZPRX;PROXIMITY;RADIOFREQUENCY PROXIMITY (RF)|INFRARED PROXIMITY (IR)|MAGNETIC DETECTION;true;true;true;true
HG;HAND GRENADES;HGHE;HIGH EXPLOSIVE (HE);;true;true;true;true
HG;HAND GRENADES;HGC;CHEMICAL;INCENDIARY|TEAR|WHITE PHOSPHORUS|SMOKE|ILLUMINATING|STUN;true;true;true;true
HG;HAND GRENADES;HGTP;TRAINING PURPOSES;;true;true;true;true
RG;RIFLE GRENADES;RGA;ANTIPERSONNEL;HIGH EXPLOSIVE|HIGH EXPLOSIVE-FRAGMENTATION;true;true;true;true
RG;RIFLE GRENADES;RGHEAT;HIGH EXPLOSIVE ANTI-TANK (HEAT);;true;true;true;true
RG;RIFLE GRENADES;RGHEDP;HIGH EXPLOSIVE DUAL PURPOSE (HEDP);;true;true;true;true
RG;RIFLE GRENADES;RGS;SMOKE;;true;true;true;true
RG;RIFLE GRENADES;RGIN;INCENDIARY;;true;true;true;true
RG;RIFLE GRENADES;RGC;CHEMICAL;;true;true;true;true
RG;RIFLE GRENADES;RGIL;ILLUMINATING;;true;true;true;true
RG;RIFLE GRENADES;RGTP;TRAINING PURPOSES;;true;true;true;true
PJ;PROJECTED GRENADES;PJAP;ANTI-PERSONNEL;LETHAL|NON LETHAL;true;true;true;true
PJ;PROJECTED GRENADES;PJHEDP;HIGH EXPLOSIVE DUAL PURPOSE (HEDP);;true;true;true;true
PJ;PROJECTED GRENADES;PJSM;SMOKE;;true;true;true;true
PJ;PROJECTED GRENADES;PJIN;INCENDIARY;;true;true;true;true
PJ;PROJECTED GRENADES;PJCH;CHEMICAL;;true;true;true;true
PJ;PROJECTED GRENADES;PJIL;ILLUMINATING;;true;true;true;true
PJ;PROJECTED GRENADES;PJTP;TRAINING PURPOSES;;true;true;true;true
MB;MORTAR BOMBS;MBAP;ANTI-PERSONNEL;;true;true;true;true
MB;MORTAR BOMBS;MBS;SMOKE;;true;true;true;true
MB;MORTAR BOMBS;MBIN;INCENDIARY;;true;true;true;true
MB;MORTAR BOMBS;MBIL;ILLUMINATING;;true;true;true;true
MB;MORTAR BOMBS;MBC;CLUSTER;;true;true;true;true
MB;MORTAR BOMBS;MBHEAT;HIGH EXPLOSIVE ANTI-TANK (HEAT);;true;true;true;true
MB;MORTAR BOMBS;MBTP;TRAINING PURPOSES;;true;true;true;true
MB;MORTAR BOMBS;MBHERA;HIGH EXPLOSIVE ROCKET ASSISTED (HERA);;true;true;true;true
MB;MORTAR BOMBS;MBPGMM;PRECISION GUIDED MUNITION MORTAR (PGMM);;true;true;true;true
PR;PROJECTILES;PRHG;HIGH EXPLOSIVE;;true;true;true;true
PR;PROJECTILES;PRHEF;HIGH EXPLOSIVE FRAGMENTATION (HE-F);;true;true;true;true
PR;PROJECTILES;PRS;SMOKE;;true;true;true;true
PR;PROJECTILES;PRIL;ILLUMINATING;;true;true;true;true
PR;PROJECTILES;PRIN;INCENDIARY;;true;true;true;true
PR;PROJECTILES;PRKEAP;KINETIC ENERGY ARMOUR PIERCING;ARMOUR PIERCING (AP)|ARMOUR PIERCING CAPPED HIGH EXPLOSIVE (APC-HE)|ARMOUR PIERCING CAPPED BALLISTIC CAPPED (APC-BC)|HIGH VELOCITY ARMOUR PIERCING (HVAP)|ARMOUR PIERCING DISCARDING SABOT (APDS)|AROMUR PIERCING FIN-STABILISED DISCARDING SABOT (APFSDS);true;true;true;true
PR;PROJECTILES;PRCEAP;CHEMICAL ENERGY ARMOUR PIERCING;HIGH EXPLOSIVE ANTI-TANK (HEAT)|HIGH EXPLOSIVE SQUASH HEAD|EXPLOSIVE FORMED PROJECTILE;true;true;true;true
PR;PROJECTILES;PRSAP;SEMI ARMOUR PIERCING;;true;true;true;true
PR;PROJECTILES;PRF;FLECHETTE;;true;true;true;true
PR;PROJECTILES;PRCL;CLUSTER;;true;true;true;true
